cx,cy
-119.59394127130508,55.55245328508052
-119.62346702814102,55.547771655099226
-119.55697506666183,55.545021482641346
-119.63269382715225,55.54146019941247
-119.61392372846603,55.54094311629596
-119.6130707859993,55.54225356713533
-119.596628844738,55.5410090190461
-119.59529846906662,55.54230679627969
-119.5927181839943,55.543493045782256
-119.63462501764297,55.53771895098129
-119.62863832712173,55.53777471484679
-119.61104840040207,55.538251242424735
-119.6070197224617,55.53939693638877
-119.5963767170906,55.538748047771975
-119.59509462118149,55.53973151958179
-119.63442653417587,55.53438072321444
-119.56232875585556,55.535572042159316
-119.62804287672043,55.530165481926446
-119.62558597326279,55.532586140633626
-119.57479566335678,55.5314835369293
-119.56201761960983,55.53271541141275
-119.55744177103043,55.53298916129796
-119.49693113565445,55.53250502955652
-119.49164718389511,55.5328801682881
-119.4499334692955,55.53406388306952
-119.62479740381241,55.5293645100401
-119.60428386926651,55.52846214930737
-119.60029274225235,55.52954447524242
-119.57951098680496,55.52817826053753
-119.5746186375618,55.529790343194875
-119.57743495702744,55.52951152386734
-119.56292420625687,55.52936957948242
-119.55145508050919,55.528561003432586
-119.50084716081619,55.52983089873342
-119.50087398290634,55.531488606371624
-119.60964292287827,55.524558678722
-119.58026200532913,55.52557763662804
-119.57748860120773,55.52723787898742
-119.56597119569778,55.52523291455037
-119.52055603265762,55.52497690771328
-119.51433062553406,55.52622779260542
-119.50540155172348,55.52542555335849
-119.51431721448898,55.52793999674856
-119.5055302977562,55.527133955419885
-119.44432765245438,55.528675065884755
-119.61671322584152,55.52158291608093
-119.60940688848495,55.52266777673712
-119.60404247045517,55.52185666596614
-119.58022445440292,55.522328124101776
-119.57724183797836,55.523793192931876
-119.55650836229324,55.52286548498756
-119.54652518033981,55.52325836676725
-119.52045410871506,55.52318739457479
-119.51437085866928,55.52449531069301
-119.5114740729332,55.52107723920964
-119.50526744127274,55.52371715129709
-119.51162427663803,55.52270833227567
-119.49709206819534,55.523765310999124
-119.4910141825676,55.52467020645301
-119.43418353796005,55.52287055442987
-119.43430155515671,55.524573887048945
-119.58408147096634,55.51680243197441
-119.58294957876205,55.51844239656451
-119.51128631830215,55.519367569787676
-119.49745148420334,55.52089093720443
-119.43720370531082,55.52091628441602
-119.43408697843552,55.521200173185875
-119.60778683423996,55.514490766277106
-119.59775000810623,55.51491913415303
-119.58422094583511,55.51503066188404
-119.58254188299179,55.51656163346428
-119.56364840269089,55.513793717958286
-119.46665972471237,55.517882223188295
-119.46090906858444,55.51754510527411
-119.45519059896469,55.51770225798599
-119.43711787462234,55.519207882354635
-119.62702363729477,55.51118548988532
-119.60937470197678,55.51158851054966
-119.60342556238174,55.51171524660762
-119.5962318778038,55.5115175383572
-119.58447843790054,55.512247538051085
-119.58215028047562,55.513552919448145
-119.56327557563782,55.51173805909806
-119.49024170637131,55.51389003736233
-119.47595089673996,55.51350475974611
-119.45489019155502,55.51477212032579
-119.44887667894363,55.51448316211362
-119.62095648050308,55.507989206503396
-119.61504489183426,55.508100734234404
-119.58243995904922,55.51037184439318
-119.56280618906021,55.50966719191088
-119.49462711811066,55.50867231385584
-119.49469417333603,55.51033382357579
-119.48290318250656,55.50997135845
-119.47856336832047,55.51005500424826
-119.47495847940445,55.51134771203952
-119.46054965257645,55.51136545508763
-119.45471853017807,55.511469378655164
-119.39518958330154,55.512635350388464
-119.38946038484573,55.51279250310034
-119.3834576010704,55.512888822504394
-119.3775138258934,55.51300288495656
-119.37160223722458,55.51312455157222
-119.36569064855576,55.51324621818786
-119.35979515314102,55.513367884803515
-119.35387820005417,55.513484481976846
-119.3479773402214,55.51360361387134
-119.31974977254868,55.511466843934016
-119.319808781147,55.513162572389604
-119.82808738946915,55.50015184867871
-119.61439043283463,55.504531846842056
-119.60905283689499,55.50486896475624
-119.57320779561996,55.5040426456583
-119.50152307748795,55.505239034045516
-119.49806839227676,55.50534802705537
-119.49461370706558,55.507020943020535
-119.47835952043533,55.50760139416602
-119.47227627038956,55.50778642881065
-119.46345716714859,55.50808045646514
-119.45443958044052,55.50799681066687
-119.44955796003342,55.50863809512019
-119.40694838762283,55.50905632411147
-119.40111190080643,55.50919066433292
-119.39523249864578,55.509317400390884
-119.38929945230484,55.509433997564216
-119.38336104154587,55.509548060016385
-119.3774065375328,55.50965958774739
-119.37149494886398,55.509778719641886
-119.36555653810501,55.50988771265173
-119.35963958501816,55.510004309825064
-119.35369044542313,55.510120906998395
-119.34776812791824,55.51024003889289
-119.34175461530685,55.5103388930181
-119.33600932359695,55.51039972632593
-119.32356387376785,55.510686149816934
-119.63135808706284,55.50040785551582
-119.629046022892,55.50185264657664
-119.62742060422897,55.50169549386476
-119.60270673036575,55.5015865008549
-119.58503633737564,55.5005827512758
-119.57135707139969,55.500189869496104
-119.54071551561356,55.50242802827981
-119.53768461942673,55.503021153031085
-119.50788527727127,55.50266882678994
-119.50160354375839,55.503710597186426
-119.49795037508011,55.50365483332092
-119.49224799871445,55.50327462514703
-119.4920602440834,55.50485882587161
-119.48284417390823,55.503051569685
-119.46612864732742,55.504435527438005
-119.4633337855339,55.50610083923969
-119.45453613996506,55.50470420788089
-119.45064693689346,55.50587271433534
-119.4425681233406,55.503358270945284
-119.43660289049149,55.50341403481079
-119.43071812391281,55.50353570142644
-119.41863745450974,55.50545702006522
-119.41270977258682,55.50557108251739
-119.4068518280983,55.50571302690231
-119.40095633268356,55.50581441574869
-119.39502865076065,55.50593608236433
-119.38909560441971,55.506057748979984
-119.38316255807877,55.506179415595625
-119.37723487615585,55.506293478047795
-119.37131255865097,55.50641514466345
-119.3653205037117,55.506516533509824
-119.3594142794609,55.506638200125465
-119.35341686010361,55.50673958897184
-119.34755355119705,55.506868859750966
-119.34164196252823,55.5069854569243
-119.33566063642502,55.50708431104951
-119.3297865986824,55.50719330405937
-119.3237891793251,55.507320040117335
-119.31790441274643,55.50733017900197
-119.31168705224991,55.50743156784834
-119.28210228681564,55.506962644433855
-119.63245242834091,55.497703308038794
-119.6287938952446,55.4990492449744
-119.6078833937645,55.49773879413503
-119.59217101335526,55.49637764887246
-119.59224075078964,55.4980581690011
-119.5878741145134,55.500017508457276
-119.5849558711052,55.49896306445498
-119.57074820995331,55.497964384318216
-119.56530600786209,55.49995667514945
-119.50770825147629,55.500932542795795
-119.4778499007225,55.5008514317187
-119.46577459573746,55.50111504271926
-119.46284025907516,55.50254209073198
-119.45418208837509,55.49997441819757
-119.45104390382767,55.50150032033548
-119.44223552942276,55.50160677862418
-119.43635076284409,55.501758861893734
-119.43041235208511,55.50186025074011
-119.42449539899826,55.50200472984619
-119.41849261522293,55.502106118692566
-119.41257029771805,55.50222525058706
-119.4066533446312,55.502346917202715
-119.40075248479843,55.5024533754914
