cx,cy
-119.62099403142929,55.5647162660494
-119.60457891225815,55.56358578041234
-119.65151757001877,55.55297797236051
-119.63514536619186,55.55373585398715
-119.64254289865494,55.537696138490844
-119.64238733053207,55.53585339620801
-119.62813675403595,55.52911230528475
-119.59397882223129,55.552232764339664
-119.61932569742203,55.539479314826444
-119.60900813341141,55.53118106020429
-119.57003742456436,55.55505200794913
-119.56132024526596,55.55277519466776
-119.58123832941055,55.54962326890612
-119.56362962722778,55.5480035820853
-119.58290129899979,55.54535606583437
-119.56925600767136,55.54444779075228
-119.57462400197983,55.53036699225862
-119.54146385192871,55.54121052937827
-119.5531877875328,55.52805786128246
-119.52262938022614,55.545494208137555
-119.51378345489502,55.530598919244696
-119.50097054243088,55.52954447524242
-119.50539886951447,55.5259236260663
-119.46236282587051,55.54600495445116
-119.45464611053467,55.5380978917946
-119.43960160017014,55.52771694128653
-119.74252492189407,55.49585676367422
-119.72857475280762,55.50770531773355
-119.68568623065948,55.50974323354566
-119.70817655324936,55.492616122672004
-119.69047397375107,55.49191653963203
-119.66907531023026,55.516614862608634
-119.65914577245712,55.50335066678181
-119.61252897977829,55.50344698618586
-119.56520676612854,55.523393974349275
-119.5704236626625,55.52284013777596
-119.56379681825638,55.5134980004897
-119.5575088262558,55.502857663516316
-119.55746591091156,55.50786627252717
-119.53873068094254,55.5082629563886
-119.53131973743439,55.50335573622412
-119.51434940099716,55.52404919976897
-119.51144456863403,55.521587985523254
-119.52362716197968,55.518380929576395
-119.50749099254608,55.51531962009619
-119.51994985342026,55.50813030598126
-119.52385514974594,55.50433667331279
-119.50163036584854,55.503411500089626
-119.49867725372314,55.50023929655872
-119.52347964048386,55.497315495701415
-119.52348500490189,55.49513056606207
-119.48301047086716,55.5146546782454
-119.4878402352333,55.51167976051139
-119.49456185102463,55.507807551486984
-119.46637970209122,55.52037790964177
-119.45498272776604,55.516853126397606
-119.42259179694312,55.51853147390812
-119.42527323961258,55.508369414677304
-119.35907632112503,55.50563951998869
-119.33447241783142,55.52311008557943
-119.34806853532791,55.50427077056264
-119.32549506425858,55.501023792757536
-119.30389791727066,55.51200758444801
-119.28200036287308,55.51037944855665
-119.28586810827255,55.50166254248969
-119.23075407743454,55.49803535651067
-119.19237166643143,55.49863862014659
-119.76534515619278,55.46282807960745
-119.75399941205978,55.461233739998235
-119.68524366617203,55.460067768264935
-119.69136983156204,55.45606037411201
-119.65271919965744,55.48438334834647
-119.65233027935028,55.48127071076281
-119.66174751520157,55.47692619869569
-119.66762512922287,55.47093665259618
-119.6683993935585,55.46134273300808
-119.6426448225975,55.46502821757376
-119.59375753998756,55.4860778094415
-119.5807358622551,55.46911756771082
-119.53100055456161,55.458072097805484
-119.52045947313309,55.487072687496536
